Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-4-1,complete,,,,,Percentage,line
#1-4-2,notapplicable,,True,,,Percentage,line
#10-16-1,notstarted,,True,,,Percentage,line
#10-2-1,notstarted,,True,,,Percentage,line
#10-2-2,notstarted,,True,,,Percentage,line
#10-2-3,notstarted,,True,,,Percentage,line
#10-2-4,notstarted,,True,,,Percentage,line
#10-2-5,notstarted,,True,,,Percentage,line
#10-2-6,notstarted,,True,,,Percentage,line
#11-2-1,notstarted,,True,,,Percentage,line
#11-2-2,notstarted,,True,,,Percentage,line
#11-3-1,notstarted,,True,,,Percentage,line
#11-3-2,notstarted,,True,,,Percentage,line
#11-7-1,notstarted,,True,,,Percentage,line
#12-3-1,notstarted,,True,,,Percentage,line
#12-4-1,notstarted,,True,,,Percentage,line
#12-4-2,notstarted,,True,,,Percentage,line
#12-4-3,notstarted,,True,,,Percentage,line
#12-4-4,notstarted,,True,,,Percentage,line
#12-4-5,notstarted,,True,,,Percentage,line
#12-7-1,notstarted,,True,,,Percentage,line
#13-2-1,notstarted,,True,,,Percentage,line
#13-3-1,notstarted,,True,,,Percentage,line
#14-2-1,notstarted,,True,,,Percentage,line
#14-2-2,notstarted,,True,,,Percentage,line
#15-5-1,notstarted,,True,,,Percentage,line
#15-5-2,notstarted,,True,,,Percentage,line
#15-5-3,notstarted,,True,,,Percentage,line
#15-5-4,notstarted,,True,,,Percentage,line
#15-5-5,notstarted,,True,,,Percentage,line
#16-6-1,notstarted,,True,,,Percentage,line
#16-7-1,notstarted,,True,,,Percentage,line
#17-2-1,notstarted,,True,,,Percentage,line
#17-6-1,notstarted,,True,,,Percentage,line
#2-1-1,notstarted,,True,,,Percentage,line
#2-1-2,notstarted,,True,,,Percentage,line
#3-4-1,notstarted,,True,,,Percentage,line
#3-4-2,notstarted,,True,,,Percentage,line
#4-3-1,notstarted,,True,,,Percentage,line
#4-3-2,notstarted,,True,,,Percentage,line
#4-3-3,notstarted,,True,,,Percentage,line
#4-3-4,notstarted,,True,,,Percentage,line
#4-3-5,notstarted,,True,,,Percentage,line
#4-3-6,notstarted,,True,,,Percentage,line
#4-3-7,notstarted,,True,,,Percentage,line
#4-4-1,notstarted,,True,,,Percentage,line
#4-5-1,notstarted,,True,,,Percentage,line
#4-5-2,notstarted,,True,,,Percentage,line
#4-5-3,notstarted,,True,,,Percentage,line
#4-5-4,notstarted,,True,,,Percentage,line
#4-5-5,notstarted,,True,,,Percentage,line
#4-7-1,notstarted,,True,,,Percentage,line
#4-7-2,notstarted,,True,,,Percentage,line
#4-a-1,notstarted,,True,,,Percentage,line
#5-1-1,notstarted,,True,,,Percentage,line
#5-1-2,notstarted,,True,,,Percentage,line
#5-1-3,notstarted,,True,,,Percentage,line
#5-1-4,notstarted,,True,,,Percentage,line
#5-1-5,notstarted,,True,,,Percentage,line
#5-1-6,notstarted,,True,,,Percentage,line
#5-1-7,notstarted,,True,,,Percentage,line
#5-2-1,notstarted,,True,,,Percentage,line
#5-4-1,notstarted,,True,,,Percentage,line
#5-5-1,notstarted,,True,,,Percentage,line
#5-5-2,notstarted,,True,,,Percentage,line
#5-5-3,notstarted,,True,,,Percentage,line
#6-4-1,notstarted,,True,,,Percentage,line
#6-4-2,notstarted,,True,,,Percentage,line
#6-4-3,notstarted,,True,,,Percentage,line
#6-6-1,notstarted,,True,,,Percentage,line
#7-2-1,notstarted,,True,,,Percentage,line
#7-3-1,notstarted,,True,,,Percentage,line
#7-3-2,notstarted,,True,,,Percentage,line
#8-5-1,notstarted,,True,,,Percentage,line
#8-5-2,notstarted,,True,,,Percentage,line
#8-5-3,notstarted,,True,,,Percentage,line
#8-5-4,notstarted,,True,,,Percentage,line
#8-8-1,notstarted,,True,,,Percentage,line
#8-8-2,notstarted,,True,,,Percentage,line
#9-5-1,notstarted,,True,,,Percentage,line
#9-5-2,notstarted,,True,,,Percentage,line
#9-5-3,notstarted,,True,,,Percentage,line
#9-5-4,notstarted,,True,,,Percentage,line
#9-5-5,notstarted,,True,,,Percentage,line
#9-5-6,notstarted,,True,,,Percentage,line
